ticker,cik,accession,verdict,exhibits_checked,best_exhibit,best_size,best_operators,best_has_qa
AAPL,0000320193,0000320193-26-000011,no_transcript,5,0000320193-26-000011.txt,412047,0,False
MSFT,0000789019,0001193125-26-191457,no_transcript,5,0001193125-26-191457.txt,1080617,0,False
GOOGL,0001652044,0001652044-26-000043,no_transcript,5,0001652044-26-000043.txt,682750,0,False
AMZN,0001018724,0001018724-26-000012,no_transcript,6,0001018724-26-000012.txt,1021531,0,False
META,0001326801,0001628280-26-028364,no_transcript,5,0001628280-26-028364.txt,410993,0,False
NVDA,0001045810,0001045810-26-000051,no_transcript,6,0001045810-26-000051.txt,637530,0,False
TSLA,0001318605,0001628280-26-026551,no_transcript,5,0001628280-26-026551.txt,5825753,0,True
AVGO,0001730168,0001730168-26-000011,no_transcript,5,0001730168-26-000011.txt,596039,0,False
AMD,0000002488,0000002488-26-000072,no_transcript,6,0000002488-26-000072.txt,3920462,0,True
ORCL,0001341439,0001193125-26-219708,no_transcript,5,0001193125-26-219708.txt,191493,0,False
PLTR,0001321655,0001321655-26-000026,no_transcript,5,0001321655-26-000026.txt,348299,0,False
CRM,0001108524,0001193125-26-107403,no_transcript,5,0001193125-26-107403.txt,151711,0,False
NOW,0001373715,0001373715-26-000054,no_transcript,6,0001373715-26-000054.txt,37921854,0,True
ARM,0001973239,,no_filing,0,,0,0,False
CBRS,0002021728,,no_filing,0,,0,0,False
DLR,0001297996,0001104659-26-047702,no_transcript,6,0001104659-26-047702.txt,8936450,0,True
EQIX,0001101239,0001101239-26-000089,no_transcript,5,0001101239-26-000089.txt,1045454,0,True
CRDO,0001807794,0001628280-26-024892,no_transcript,5,0001628280-26-024892.txt,181043,0,False
ALAB,0001736297,0001736297-26-000017,no_transcript,5,0001736297-26-000017.txt,454330,0,False
COHR,0000820318,0001193125-26-208972,no_transcript,6,0001193125-26-208972.txt,4654053,0,True
AAOI,0001158114,0001683168-26-003562,no_transcript,5,0001683168-26-003562.txt,332916,0,False
LITE,0001633978,0001628280-26-030530,no_transcript,5,0001628280-26-030530.txt,655157,0,False
ANET,0001596532,0001596532-26-000074,no_transcript,5,0001596532-26-000074.txt,383416,0,False
CIEN,0000936395,0001628280-26-015006,no_transcript,6,0001628280-26-015006.txt,4373964,0,True
MU,0000723125,0000723125-26-000004,no_transcript,5,0000723125-26-000004.txt,485810,0,False
SNDK,0002023554,0001628280-26-028879,no_transcript,5,0001628280-26-028879.txt,682446,0,False
WDC,0000106040,0001628280-26-028878,no_transcript,5,0001628280-26-028878.txt,1035075,0,True
MRVL,0001835632,0001193125-26-134462,no_transcript,6,0001193125-26-134462.txt,230959,0,False
MTSI,0001493594,0001493594-26-000024,no_transcript,5,0001493594-26-000024.txt,577461,0,False
MPWR,0001280452,0001437749-26-014182,no_transcript,5,0001437749-26-014182.txt,580270,0,True
ASML,0000937966,,no_filing,0,,0,0,False
AMAT,0000006951,0001628280-26-035071,no_transcript,5,0001628280-26-035071.txt,770207,0,False
LRCX,0000707549,0000707549-26-000020,no_transcript,5,0000707549-26-000020.txt,483800,0,False
KLAC,0000319201,0000319201-26-000014,no_transcript,5,0000319201-26-000014.txt,468072,0,False
TER,0000097210,0001193125-26-188706,no_transcript,5,0001193125-26-188706.txt,1286567,0,False
ACMR,0001680062,0001628280-26-031688,no_transcript,5,0001628280-26-031688.txt,473691,0,False
AEHR,0001040470,0001654954-26-003310,no_transcript,5,0001654954-26-003310.txt,411321,0,False
NVMI,0001109345,,no_filing,0,,0,0,False
FORM,0001039399,0001039399-26-000020,no_transcript,5,0001039399-26-000020.txt,498852,0,False
LSCC,0000855658,0001437749-26-014654,no_transcript,6,0001437749-26-014654.txt,831879,0,False
RMBS,0000917273,0001193125-26-182076,no_transcript,5,0001193125-26-182076.txt,683375,0,True
SIMO,0001329394,,no_filing,0,,0,0,False
AMBA,0001280263,0001193125-26-076823,no_transcript,5,0001193125-26-076823.txt,270878,0,True
ALGM,0000866291,0001193125-26-221635,no_transcript,5,0001193125-26-221635.txt,250326,0,False
SWKS,0000004127,0000004127-26-000014,no_transcript,5,0000004127-26-000014.txt,514358,0,False
QRVO,0001604778,0001628280-26-030523,no_transcript,5,0001628280-26-030523.txt,642060,0,False
ON,0001097864,0001140361-26-018868,no_transcript,5,0001140361-26-018868.txt,954180,0,False
GFS,0001709048,,no_filing,0,,0,0,False
TSM,0001046179,,no_filing,0,,0,0,False
SMCI,0001375365,0001375365-26-000013,no_transcript,5,0001375365-26-000013.txt,541062,0,False
DELL,0001571996,0001571996-26-000003,no_transcript,5,0001571996-26-000003.txt,785676,0,False
NTNX,0001618732,0001171843-26-002298,no_transcript,5,0001171843-26-002298.txt,220131,0,False
IBM,0000051143,0000051143-26-000036,no_transcript,6,0000051143-26-000036.txt,869902,0,False
BE,0001664703,0001628280-26-027913,no_transcript,6,0001628280-26-027913.txt,5646547,0,True
VST,0001692819,0001692819-26-000011,no_transcript,5,0001692819-26-000011.txt,681081,0,False
CEG,0001868275,0001868275-26-000063,no_transcript,6,0001868275-26-000063.txt,5743338,0,True
TLN,0001622536,0001622536-26-000035,no_transcript,5,0001622536-26-000035.txt,426963,0,False
NRG,0001013871,0001104659-26-064884,no_transcript,5,0001104659-26-064884.txt,260789,0,False
OKLO,0001849056,0001104659-25-027276,no_transcript,5,0001104659-25-027276.txt,5009391,0,True
SMR,0001822966,0001822966-26-000052,no_transcript,5,0001822966-26-000052.txt,2019400,0,True
NNE,0001923891,0001641172-25-013857,no_transcript,6,0001641172-25-013857.txt,446062,0,False
LEU,0001065059,0001628280-26-030674,no_transcript,5,0001628280-26-030674.txt,446082,0,False
CCJ,0001009001,,no_filing,0,,0,0,False
GEV,0001996810,0001996810-26-000063,no_transcript,5,0001996810-26-000063.txt,1895606,0,True
VRT,0001674101,0001628280-26-027297,no_transcript,5,0001628280-26-027297.txt,260630,0,False
ETN,0001551182,0001551182-26-000010,no_transcript,5,0001551182-26-000010.txt,510020,0,False
PWR,0001050915,0001193125-26-193918,no_transcript,5,0001193125-26-193918.txt,430979,0,False
STRL,0000874238,0000874238-26-000078,no_transcript,4,0000874238-26-000078.txt,2164654,0,True
MIR,0001809987,0001628280-26-027943,no_transcript,5,0001628280-26-027943.txt,406668,0,False
IONQ,0001824920,0001193125-26-208923,no_transcript,5,0001193125-26-208923.txt,707331,0,False
RGTI,0001838359,0001104659-26-064861,no_transcript,5,0001104659-26-064861.txt,267850,0,False
QBTS,0001907982,0001907982-26-000057,no_transcript,6,0001907982-26-000057.txt,7444403,0,True
QUBT,0001758009,0001213900-26-058515,no_transcript,5,0001213900-26-058515.txt,13232039,0,True
HON,0000773840,0000773840-26-000055,no_transcript,5,0000773840-26-000055.txt,773657,0,False
RKLB,0001819994,0001819994-26-000027,no_transcript,5,0001819994-26-000027.txt,407376,0,False
ASTS,0001780312,0001193125-26-216946,no_transcript,6,0001193125-26-216946.txt,10196527,0,True
LUNR,0001844452,0001628280-26-034807,no_transcript,6,0001628280-26-034807.txt,428445,0,False
PL,0001836833,0001193125-26-115951,no_transcript,5,0001193125-26-115951.txt,1327413,0,False
RDW,0001819810,0001819810-26-000060,no_transcript,5,0001819810-26-000060.txt,1073166,0,True
BKSY,0001753539,0001753539-26-000057,no_transcript,5,0001753539-26-000057.txt,422431,0,False
SATS,0001415404,0001415404-25-000049,no_transcript,5,0001415404-25-000049.txt,296557,0,False
